"","Name","Ask","Bid","Date"
"179","Banco Bilbao Vizcaya Argentaria","N/A","N/A","Tue Nov 15 06:42:36 2016"
"180","Build-A-Bear Workshop, Inc. Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"181","BBX Capital Corporation Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"182","Best Buy Co., Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"183","Brunswick Corporation Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"184","Boise Cascade, L.L.C. Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"185","BCE, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"186","Bonanza Creek Energy, Inc. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"187","Banco De Chile Banco De Chile A","N/A","N/A","Tue Nov 15 06:42:36 2016"
"188","Brinks Company (The) Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"189","Boulder Growth & Income Fund, I","N/A","N/A","Tue Nov 15 06:42:36 2016"
"190","Big Lots, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"191","Bio-Rad Laboratories, Inc. Clas","N/A","N/A","Tue Nov 15 06:42:36 2016"
"194","BioAmber Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"195","Brookfield Infrastructure Partn","N/A","N/A","Tue Nov 15 06:42:36 2016"
"196","BlackRock Multi-Sector Income T","N/A","N/A","Tue Nov 15 06:42:36 2016"
"197","Bitauto Holdings Limited Americ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"198","Blackrock California Municipal ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"199","Bank of New York Mellon Corpora","N/A","N/A","Tue Nov 15 06:42:36 2016"
"201","Brookdale Senior Living Inc. Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"202","Buckle, Inc. (The) Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"203","Black Knight Financial Services","N/A","N/A","Tue Nov 15 06:42:36 2016"
"204","Black Hills Corporation Common ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"205","Black Hills Corporation Corpora","N/A","N/A","Tue Nov 15 06:42:36 2016"
"206","Blackrock Municipal 2020 Term T","N/A","N/A","Tue Nov 15 06:42:36 2016"
"207","BlackRock Investment Quality Mu","N/A","N/A","Tue Nov 15 06:42:36 2016"
"208","Barnes & Noble, Inc. Common Sto","N/A","N/A","Tue Nov 15 06:42:36 2016"
"209","BlackRock Income Trust Inc. (Th","N/A","N/A","Tue Nov 15 06:42:36 2016"
"210","BankUnited, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"211","TopBuild Corp. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"212","Blackrock New York Municipal 20","N/A","N/A","Tue Nov 15 06:42:36 2016"
"213","BlackRock, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"214","Ball Corporation Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"215","Infoblox Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"216","Blackrock Limited Duration Inco","N/A","N/A","Tue Nov 15 06:42:36 2016"
"217","Banco Latinoamericano de Comerc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"218","Banco Macro S.A.  ADR (represen","N/A","N/A","Tue Nov 15 06:42:36 2016"
"219","Blackrock Health Sciences Trust","N/A","N/A","Tue Nov 15 06:42:36 2016"
"220","Badger Meter, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"226","Bank Of Montreal Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"227","Bemis Company, Inc. Common Stoc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"228","Bristol-Myers Squibb Company Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"229","Barnes & Noble Education, Inc C","N/A","N/A","Tue Nov 15 06:42:36 2016"
"230","BlackRock New Jersey Municipal ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"231","Bank Nova Scotia Halifax Pfd 3 ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"232","BlackRock New York Municipal In","N/A","N/A","Tue Nov 15 06:42:36 2016"
"233","Blackrock Global Blackrock Glob","N/A","N/A","Tue Nov 15 06:42:36 2016"
"234","Bank of Hawaii Corporation Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"235","Brookfield Mortgage Opportunity","N/A","N/A","Tue Nov 15 06:42:36 2016"
"236","Boot Barn Holdings, Inc. Common","N/A","N/A","Tue Nov 15 06:42:36 2016"
